,2045,2050
1.Population_Grid,17550442.8373051,20740222.40150343
1.Population_SA_Diesel,0,0
1.Population_SA_PV,257993.0937096456,269901.06340416
1.Population_MG_Diesel,0,0
1.Population_MG_PV,20972368.53375675,22196876.535086513
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,0,0
2.New_Connections_Grid,2682924.250983116,3188190.252814108
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,11382.592949165897,11907.96969446456
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,1132497.7725367362,1226097.3127158144
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,0,0
3.Capacity_Grid,5818283.901281481,6914021.52534629
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,3474.4594360327897,3634.827130663785
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,395227.4664302352,427901.70789206104
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,0,0
4.Investment_Grid,16649882975.867443,11223149213.373732
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,15508784.612895293,9206279.725665366
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,355124596.86394316,216963183.6406089
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,0,0
