,2055,2060
1.Population_Grid,24448441.66754624,28661761.165669143
1.Population_SA_Diesel,0,0
1.Population_SA_PV,0,0
1.Population_MG_Diesel,0,0
1.Population_MG_PV,14320606.204698337,19012104.124964293
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,0,0
2.New_Connections_Grid,3459141.386555649,4063402.071752141
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,0,0
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,4032616.5859316057,4841415.346637367
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,0,0
3.Capacity_Grid,7501615.684556973,8812036.661059693
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,0,0
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,1406737.7505935482,1691873.6891788456
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,0,0
4.Investment_Grid,21452771652.451084,14296446093.717321
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,0,0
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,1241801716.045496,938980358.6115707
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,0,0
